review,main_category,sub_category,main_confidence,sub_confidence,original,translated,score,year,source
"The app is improving, please add dark mode and an option to download or view the detailed Bill on the app itself.",UI/UX,dark mode,0.59,0.83,"The app is improving, please add dark mode and an option to download or view the detailed Bill on the app itself.","The app is improving, please add dark mode and an option to download or view the detailed Bill on the app itself.",3,2024.0,Google Play
Add a refresh button,UI/UX,navigation improvements,0.69,0.74,Add a refresh button,Add a refresh button,4,2024.0,Google Play
need Wifi router password change option,Login,password recovery,0.3,0.65,need Wifi router password change option,need Wifi router password change option,1,2024.0,Google Play
Atleast make a widget for the app to display the data usage,UI/UX,theme customization,0.67,0.37,Atleast make a widget for the app to display the data usage,Atleast make a widget for the app to display the data usage,4,2024.0,Google Play
"Need some ui changes, please add circle progress bars to home page , now it need 2or 3 taps to view remaining data. Change the ui to modern theme, now it's like KitKat version 🥴",UI/UX,theme customization,0.87,0.61,"Need some ui changes, please add circle progress bars to home page , now it need 2or 3 taps to view remaining data. Change the ui to modern theme, now it's like KitKat version 🥴","Need some ui changes, please add circle progress bars to home page , now it need 2or 3 taps to view remaining data. Change the ui to modern theme, now it's like KitKat version 🥴",4,2024.0,Google Play
Better if you add an option to withdraw a reported complaint with a comment..,UI/UX,simplified layout,0.32,0.39,Better if you add an option to withdraw a reported complaint with a comment..,Better if you add an option to withdraw a reported complaint with a comment..,4,2023.0,Google Play
Good app pls upgrade prepaid reload or topup system.,Payment,new payment methods,0.56,0.54,Good app pls upgrade prepaid reload or topup system.,Good app pls upgrade prepaid reload or topup system.,2,2023.0,Google Play
"You should provide the capability to Downgrade and Upgrade Telephone, Broadband and TV Packages from this App",Payment,new payment methods,0.23,0.41,"You should provide the capability to Downgrade and Upgrade Telephone, Broadband and TV Packages from this App","You should provide the capability to Downgrade and Upgrade Telephone, Broadband and TV Packages from this App",4,2023.0,Google Play
"Yeah do the job, but not a nice app. Can the app provide an option to save the bank card and pay the bill. It annoying to add the details every month.",Payment,recurring payments,0.44,0.45,"Yeah do the job, but not a nice app. Can the app provide an option to save the bank card and pay the bill. It annoying to add the details every month.","Yeah do the job, but not a nice app. Can the app provide an option to save the bank card and pay the bill. It annoying to add the details every month.",4,2023.0,Google Play
Please add usage meter for voice usage,UI/UX,theme customization,0.33,0.29,Please add usage meter for voice usage,Please add usage meter for voice usage,3,2023.0,Google Play
