original,translated,score,year,source
"The app is improving, please add dark mode and an option to download or view the detailed Bill on the app itself.","The app is improving, please add dark mode and an option to download or view the detailed Bill on the app itself.",3,2024.0,Google Play
Add a refresh button,Add a refresh button,4,2024.0,Google Play
need Wifi router password change option,need Wifi router password change option,1,2024.0,Google Play
Atleast make a widget for the app to display the data usage,Atleast make a widget for the app to display the data usage,4,2024.0,Google Play
"Need some ui changes, please add circle progress bars to home page , now it need 2or 3 taps to view remaining data. Change the ui to modern theme, now it's like KitKat version 🥴","Need some ui changes, please add circle progress bars to home page , now it need 2or 3 taps to view remaining data. Change the ui to modern theme, now it's like KitKat version 🥴",4,2024.0,Google Play
Better if you add an option to withdraw a reported complaint with a comment..,Better if you add an option to withdraw a reported complaint with a comment..,4,2023.0,Google Play
Good app pls upgrade prepaid reload or topup system.,Good app pls upgrade prepaid reload or topup system.,2,2023.0,Google Play
"You should provide the capability to Downgrade and Upgrade Telephone, Broadband and TV Packages from this App","You should provide the capability to Downgrade and Upgrade Telephone, Broadband and TV Packages from this App",4,2023.0,Google Play
"Yeah do the job, but not a nice app. Can the app provide an option to save the bank card and pay the bill. It annoying to add the details every month.","Yeah do the job, but not a nice app. Can the app provide an option to save the bank card and pay the bill. It annoying to add the details every month.",4,2023.0,Google Play
Please add usage meter for voice usage,Please add usage meter for voice usage,3,2023.0,Google Play
Please provide an option to downgrade packages? Currently you can only upgrade to higher tiers.,Please provide an option to downgrade packages? Currently you can only upgrade to higher tiers.,2,2023.0,Google Play
"Its a very good app. I would like to request a data package for browsing (chrome, google) in the near future.","Its a very good app. I would like to request a data package for browsing (chrome, google) in the near future.",5,2023.0,Google Play
What about 25 GB for the New Year,What about 25 GB for the New Year,1,2023.0,Google Play
The app is fine but must be improved to the standards of the 'Mobitel Self-care' app.Also when I go to pay my router bill it should be made to automatically fill my account number and give an option to type in some other account rather than having to type my account in all the time I go to pay my bill.,The app is fine but must be improved to the standards of the 'Mobitel Self-care' app.Also when I go to pay my router bill it should be made to automatically fill my account number and give an option to type in some other account rather than having to type my account in all the time I go to pay my bill.,4,2023.0,Google Play
"Plz add a widget for data usage, Thank you.. 😊","Plz add a widget for data usage, Thank you.. 😊",5,2023.0,Google Play
