userName,content,score,date,source,translated_content,year
Vasanth Raj,"disappointed to see that the app doesn't offer data usage tracking, forecasting bill payments option is secondary what's important is knowing how much data we have used.",1,2025-07-10 17:11:08,Google Play,"disappointed to see that the app doesn't offer data usage tracking, forecasting bill payments option is secondary what's important is knowing how much data we have used.",2025.0
Shanith Kavinda,full of bugs. always something error massage comes up.,1,2025-07-07 21:39:08,Google Play,full of bugs. always something error massage comes up.,2025.0
Chamith Malshan,data remaining not show.,1,2025-07-07 15:10:19,Google Play,data remaining not show.,2025.0
Dushyanth Kandiah,"everything ok, some features can be better like if you're going to upgrade a package if you click the upgrade button without any confirmation if upgrades the package",3,2025-07-02 07:34:47,Google Play,"everything ok, some features can be better like if you're going to upgrade a package if you click the upgrade button without any confirmation if upgrades the package",2025.0
Dilum Perera,"The app technically works, I can pay my bills and see my usage stats but everything else is just below average. The design somehow looks like an early 2010s webpage, the colors are not eye pleasing, options are cluttered everywhere, no security at all, some of the options (changing mobile no, notification settings, etc) don't work. Hilarious how the leading and profitable ISP here make such an unintuitive, confusing and ancient looking app because this seems done for a school project.",2,2025-07-01 11:23:55,Google Play,"The app technically works, I can pay my bills and see my usage stats but everything else is just below average. The design somehow looks like an early 2010s webpage, the colors are not eye pleasing, options are cluttered everywhere, no security at all, some of the options (changing mobile no, notification settings, etc) don't work. Hilarious how the leading and profitable ISP here make such an unintuitive, confusing and ancient looking app because this seems done for a school project.",2025.0
Buwaneka Sudheera,Slow. Sometimes no response,1,2025-06-30 05:13:55,Google Play,Slow. Sometimes no response,2025.0
shamal senadhi,Lot of bugs encountered UI is bad very slow,1,2025-06-29 08:06:13,Google Play,Lot of bugs encountered UI is bad very slow,2025.0
Upul Sampath,Using for years. But still the customer service team can’t make  the app to see the usage of the bill.,1,2025-06-29 04:49:01,Google Play,Using for years. But still the customer service team can’t make  the app to see the usage of the bill.,2025.0
Nirmala Priyadarshanie,This is by far the worst connection available. I strongly advise against trying it. It's riddled with cheating and ends up wasting both time and money.,1,2025-06-29 04:11:16,Google Play,This is by far the worst connection available. I strongly advise against trying it. It's riddled with cheating and ends up wasting both time and money.,2025.0
Achintha,Full of errors.useless app,1,2025-06-27 02:37:44,Google Play,Full of errors.useless app,2025.0
Rohan Wijedasa,Good Happy,4,2025-06-26 06:48:34,Google Play,Good Happy,2025.0
Shayan Raju,"This app needs a serious revamp. It looks and feels like an app from 2010. It constantly shows error alerts when opening it. Broadband usage UI is terrible and not user friendly, it's full of terms that don't make sense to the end user.",1,2025-06-25 05:18:47,Google Play,"This app needs a serious revamp. It looks and feels like an app from 2010. It constantly shows error alerts when opening it. Broadband usage UI is terrible and not user friendly, it's full of terms that don't make sense to the end user.",2025.0
Tharusha Lakshan,Bill pay option is not working.it says it will available soon since about 1 year.,1,2025-06-23 02:08:04,Google Play,Bill pay option is not working.it says it will available soon since about 1 year.,2025.0
Pasan Ayeshmantha,useless full of errors,1,2025-06-22 17:08:20,Google Play,useless full of errors,2025.0
hiran Ihaladeniya,App features won't work properly and some bugs did not fix a long time,1,2025-06-08 18:09:11,Google Play,App features won't work properly and some bugs did not fix a long time,2025.0
Lahiru Prasanna (Sl FireFlash),There is so much important work that can be done to UIs. Core functionality seems okay so far.,3,2025-05-31 18:59:10,Google Play,There is so much important work that can be done to UIs. Core functionality seems okay so far.,2025.0
Yohan Chanuka,The worst app u can find in the store.,1,2025-05-28 02:36:36,Google Play,The worst app u can find in the store.,2025.0
gihan abeykoon,pathatic,1,2025-05-27 15:02:34,Google Play,pathatic,2025.0
tharindu Randunu,service temporary unavailable please try again later !!!!! 😂😂😂,1,2025-05-23 13:09:00,Google Play,service temporary unavailable please try again later !!!!! 😂😂😂,2025.0
